decision_id,source,split,placement_id,placement_key,condition,horizon,matched_scan_index,strict_label,strict_advantage,base_outcome,detour_outcome,retreat_outcome,base_utility,detour_utility,retreat_utility,oracle_utility,base_catastrophe_risk
35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,glass,40,1,strict_retreat,1.0,catastrophe,catastrophe,safe_noncompletion,-1.0,-1.0,0.0,0.0,0.07246173626234698
cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,offpath,40,1,base_tie,0.0,task_success,task_success,safe_noncompletion,1.0,1.0,0.0,1.0,0.16501024800263386
0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,noglass,40,1,base_tie,0.0,task_success,task_success,safe_noncompletion,1.0,1.0,0.0,1.0,0.02199156349747089
95d1c983ef5278089cbf4a97fd29e63847cf596e6f91a5094e4f13df9cb912aa,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,glass,30,11,detour_retreat_tie,0.0,catastrophe,safe_noncompletion,safe_noncompletion,-1.0,0.0,0.0,0.0,0.11762529279284772
ed26209afc5c7fe32bd37476aff7664456cd16d5e3caa12510498b455f568391,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,offpath,30,11,base_tie,0.0,task_success,task_success,safe_noncompletion,1.0,1.0,0.0,1.0,0.10593076297622339
92576fc37c2d41fbfbd270b4917f78074dfa38e9b92da0dde848094f08d10057,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,noglass,30,11,strict_base,1.0,task_success,safe_noncompletion,safe_noncompletion,1.0,0.0,0.0,1.0,0.11298341033715953
f3f67f57bc6a517b90da02d8e03095ad4e9976149edd877a51220c85950d088b,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,glass,20,21,strict_retreat,1.0,catastrophe,catastrophe,safe_noncompletion,-1.0,-1.0,0.0,0.0,0.9469665505280398
908070ca1dd9689c41e49874ec23583ba380085676ade4e261316dfc9aeb90e5,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,offpath,20,21,strict_base,1.0,task_success,safe_noncompletion,safe_noncompletion,1.0,0.0,0.0,1.0,0.5645241380635883
e25436a8833b407aa3f655b6dd419a708dcddc9f1ebed2fb203adab481548cac,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,noglass,20,21,base_tie,0.0,task_success,task_success,safe_noncompletion,1.0,1.0,0.0,1.0,0.5323239760207649
29757722414f6a8d93120a80a5d86a22f9ffe443d961f9bd91a5b69076b25e11,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,glass,10,31,strict_retreat,1.0,catastrophe,catastrophe,safe_noncompletion,-1.0,-1.0,0.0,0.0,0.17299249571710584
df5c0ddbc5bcb3d706b3acebaa2704623875139b588d155ae5da8f1d27840fc4,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,offpath,10,31,strict_base,1.0,task_success,safe_noncompletion,safe_noncompletion,1.0,0.0,0.0,1.0,0.9440806098511934
8ba90f1e46e6c737c0eb056cf6515a987da62bfa9c19658a6c8d06b74439121a,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass_recovery_heldout_0000,exposed:glass_recovery_heldout_0000,noglass,10,31,strict_base,1.0,task_success,safe_noncompletion,safe_noncompletion,1.0,0.0,0.0,1.0,0.9081393375700416
